# y(file,data)
#      x           y(1,1)       y(2,1)       y(3,1)     sum_data1  
    21.107775     0.024198     0.043092     0.019391     0.149164
    21.182607     0.022931     0.044233     0.021138     0.153673
    21.257439     0.020874     0.045950     0.023128     0.159030
    21.332271     0.019228     0.048262     0.023313     0.162378
    21.407102     0.017657     0.048497     0.022475     0.159600
    21.481934     0.015865     0.046132     0.021245     0.150619
    21.556766     0.015260     0.042745     0.020038     0.140825
    21.631598     0.015028     0.039363     0.018880     0.131515
    21.706430     0.014450     0.036092     0.017155     0.120943
    21.781262     0.013390     0.032680     0.015410     0.109569
    21.856094     0.012346     0.030365     0.014802     0.102679
    21.930926     0.011669     0.029632     0.014545     0.100023
    22.005758     0.011256     0.029891     0.014415     0.099869
    22.080590     0.011261     0.030987     0.014936     0.103107
    22.155421     0.011379     0.030973     0.015867     0.105059
    22.230253     0.011537     0.030949     0.017312     0.108058
    22.305085     0.011705     0.029495     0.017500     0.105695
    22.379917     0.012509     0.027496     0.017231     0.101963
    22.454749     0.014121     0.025820     0.017110     0.099982
    22.529581     0.017323     0.025392     0.017033     0.102173
    22.604413     0.019776     0.025525     0.016736     0.104299
    22.679245     0.019546     0.026158     0.016216     0.104294
    22.754077     0.020043     0.029522     0.016220     0.111527
    22.828909     0.020886     0.035350     0.017331     0.126247
    22.903740     0.021950     0.037033     0.017057     0.130129
    22.978572     0.026248     0.036636     0.018003     0.135525
    23.053404     0.037377     0.042328     0.019790     0.161613
    23.128236     0.047884     0.039876     0.028860     0.185355
    23.203068     0.051202     0.045562     0.036917     0.216161
    23.277900     0.053292     0.042196     0.038738     0.215160
    23.352732     0.061377     0.035749     0.034397     0.201669
    23.427564     0.060727     0.037952     0.032440     0.201513
    23.502396     0.047567     0.040672     0.026727     0.182366
    23.577228     0.042702     0.042853     0.025405     0.179218
    23.652059     0.052079     0.046171     0.027421     0.199264
    23.726891     0.052734     0.041097     0.024268     0.183463
    23.801723     0.043489     0.033960     0.021991     0.155391
    23.876555     0.041178     0.031259     0.021935     0.147566
    23.951387     0.040803     0.029333     0.023253     0.145975
    24.026219     0.037236     0.025647     0.021878     0.132286
    24.101051     0.033018     0.022103     0.019740     0.116703
    24.175883     0.030193     0.020576     0.017752     0.106850
    24.250715     0.025869     0.021420     0.015169     0.099047
    24.325547     0.029886     0.024139     0.015690     0.109545
    24.400378     0.035361     0.027165     0.010000     0.109689
    24.475210     0.038004     0.031574     0.012060     0.125273
    24.550042     0.038566     0.029670     0.015814     0.129534
    24.624874     0.039127     0.022178     0.016439     0.116360
    24.699706     0.046174     0.019426     0.020385     0.125794
    24.774538     0.047374     0.017806     0.030260     0.143504
    24.849370     0.041357     0.016089     0.029265     0.132064
    24.924202     0.048162     0.016976     0.023283     0.128680
    24.999034     0.056221     0.018273     0.021757     0.136281
    25.073866     0.059585     0.017098     0.021363     0.136506
    25.148697     0.045983     0.016205     0.021618     0.121628
    25.223529     0.044769     0.015053     0.027467     0.129809
    25.298361     0.043240     0.017315     0.024217     0.126303
    25.373193     0.027614     0.018700     0.017420     0.099855
    25.448025     0.024562     0.014364     0.012998     0.079286
    25.522857     0.020883     0.015886     0.007907     0.068469
    25.597689     0.021969     0.011004     0.006588     0.057153
    25.672521     0.022242     0.009054     0.005336     0.051021
    25.747353     0.021665     0.007188     0.004715     0.045472
    25.822185     0.023079     0.006504     0.005029     0.046144
    25.897016     0.027413     0.006752     0.005937     0.052791
    25.971848     0.021825     0.007395     0.005917     0.048449
    26.046680     0.015995     0.006299     0.005579     0.039752
    26.121512     0.015747     0.003765     0.005673     0.034624
    26.196344     0.018359     0.003694     0.006292     0.038332
    26.271176     0.022602     0.004648     0.006935     0.045766
    26.346008     0.023506     0.005760     0.007094     0.049213
    26.420840     0.021724     0.006649     0.006959     0.048941
    26.495672     0.016516     0.006971     0.006663     0.043785
    26.570504     0.014383     0.006697     0.006372     0.040521
    26.645335     0.014197     0.006074     0.006156     0.038658
    26.720167     0.014682     0.005459     0.006368     0.038336
    26.794999     0.016425     0.005020     0.006866     0.040197
    26.869831     0.016952     0.004944     0.007400     0.041639
    26.944663     0.017204     0.005031     0.008057     0.043380
    27.019495     0.017376     0.005443     0.008444     0.045151
    27.094327     0.017305     0.005824     0.008292     0.045538
    27.169159     0.016528     0.005873     0.008002     0.044277
    27.243991     0.015522     0.005665     0.008548     0.043948
    27.318823     0.014931     0.005706     0.008025     0.042393
    27.393654     0.014628     0.005938     0.007148     0.040800
    27.468486     0.014182     0.005790     0.006708     0.039178
    27.543318     0.013545     0.005715     0.006406     0.037789
    27.618150     0.012919     0.005634     0.006098     0.036383
    27.692982     0.012312     0.005490     0.005781     0.034852
    27.767814     0.011713     0.005317     0.005482     0.033312
    27.842646     0.011122     0.005120     0.005426     0.032213
    27.917478     0.010535     0.005144     0.005826     0.032474
    27.992310     0.010522     0.005532     0.006467     0.034519
    28.067142     0.011582     0.006487     0.007773     0.040104
    28.141973     0.012939     0.007942     0.009230     0.047283
    28.216805     0.014112     0.009054     0.010124     0.052468
    28.291637     0.014463     0.010040     0.010129     0.054802
    28.366469     0.015981     0.011262     0.009262     0.057027
    28.441301     0.013856     0.012001     0.007794     0.053447
    28.516133     0.011853     0.011326     0.006181     0.046868
    28.590965     0.012167     0.010555     0.006620     0.046519
    28.665797     0.013002     0.010972     0.007190     0.049327
    28.740629     0.014669     0.012717     0.008070     0.056242
    28.815461     0.018709     0.015366     0.009033     0.067507
    28.890292     0.019677     0.017003     0.008807     0.071298
    28.965124     0.015762     0.015593     0.008322     0.063593
    29.039956     0.015725     0.015242     0.008224     0.062658
    29.114788     0.015448     0.015122     0.008079     0.061850
    29.189620     0.014550     0.014765     0.007988     0.060057
    29.264452     0.013314     0.014244     0.007868     0.057537
    29.339284     0.011826     0.013477     0.007612     0.054004
    29.414116     0.010721     0.012493     0.007238     0.050183
    29.488948     0.009943     0.012974     0.007367     0.050625
    29.563780     0.009031     0.014408     0.008195     0.054237
    29.638611     0.011074     0.018041     0.009424     0.066003
    29.713443     0.012556     0.020795     0.010931     0.076008
    29.788275     0.013698     0.024211     0.012729     0.087577
    29.863107     0.014725     0.025690     0.013086     0.092276
    29.937939     0.016205     0.024676     0.012649     0.090855
    30.012771     0.017160     0.023137     0.012156     0.087745
    30.087603     0.020039     0.023248     0.012682     0.091899
    30.162435     0.024229     0.025360     0.012414     0.099775
    30.237267     0.024398     0.027780     0.010214     0.100387
    30.312099     0.021886     0.028143     0.008012     0.094194
    30.386930     0.017537     0.025885     0.006830     0.082966
    30.461762     0.014585     0.024025     0.006849     0.076333
    30.536594     0.014438     0.023642     0.007953     0.077629
    30.611426     0.015411     0.022779     0.007430     0.075831
